Size,Insert Time (s),Search Time (s),Delete Time (s),Load Factor,Avg Chain Length,Max Chain Length,Capacity
100,2.287006936967373e-06,5.97052276134491e-07,9.533483535051346e-07,0.305,1.1730769230769231,3,200
500,3.3651543781161306e-06,6.046192720532418e-07,7.599871605634689e-07,0.41,1.19533527696793,4,1000
1000,1.7546475864946843e-06,6.062304601073265e-07,7.741805166006088e-07,0.4535,1.2510344827586206,3,2000
5000,1.9239624030888082e-06,8.812220767140389e-07,1.0741176083683968e-06,0.4901,1.2677185721676152,5,10000
10000,2.161763422191143e-06,6.287312135100365e-07,8.311774581670761e-07,0.495,1.2581014105985513,5,20000
